iter	Passed	Remaining
0	146	146348
1	147	73552
2	148	49316
3	149	37160
4	150	29866
5	150	24997
6	151	21518
7	152	18905
8	153	16874
9	154	15253
10	154	13921
11	155	12807
12	156	11872
13	157	11073
14	158	10380
15	158	9769
16	159	9243
17	160	8768
18	161	8346
19	162	7965
20	163	7616
21	164	7302
22	165	7011
23	165	6744
24	166	6498
25	167	6271
26	168	6061
27	168	5866
28	169	5685
29	170	5515
30	171	5355
31	172	5205
32	172	5064
33	173	4932
34	175	4826
35	175	4709
36	176	4600
37	177	4492
38	178	4391
39	178	4295
40	179	4204
41	180	4117
42	181	4034
43	181	3953
44	182	3875
45	183	3802
46	184	3732
47	184	3665
48	185	3599
49	186	3538
50	186	3478
51	187	3421
52	188	3368
53	189	3313
54	189	3262
55	190	3213
56	191	3165
57	192	3119
58	192	3075
59	193	3032
60	194	2989
61	194	2948
62	195	2907
63	196	2869
64	196	2831
65	197	2795
66	198	2759
67	198	2721
68	199	2688
69	199	2655
70	200	2623
71	201	2592
72	201	2563
73	202	2536
74	204	2517
75	204	2489
76	205	2462
77	206	2438
78	207	2413
79	207	2388
80	208	2364
81	209	2340
82	209	2317
83	210	2294
84	210	2270
85	211	2249
86	212	2225
87	212	2205
88	213	2185
89	214	2166
90	214	2146
91	215	2127
92	216	2109
93	217	2093
94	217	2076
95	218	2059
96	219	2042
97	220	2026
98	220	2010
99	221	1994
100	222	1979
101	222	1961
102	223	1945
103	224	1930
104	224	1915
105	225	1901
106	226	1887
107	226	1873
108	227	1859
109	228	1845
110	228	1832
111	229	1819
112	230	1806
113	230	1794
114	231	1782
115	232	1768
116	232	1757
117	233	1745
118	234	1732
119	234	1721
120	235	1709
121	236	1698
122	236	1685
123	236	1674
124	237	1663
125	238	1652
126	238	1642
127	239	1630
128	239	1620
129	240	1610
130	241	1601
131	241	1591
132	242	1581
133	243	1571
134	243	1562
135	244	1553
136	245	1544
137	245	1534
138	246	1526
139	247	1517
140	247	1508
141	248	1500
142	248	1491
143	249	1483
144	250	1475
145	250	1467
146	251	1459
147	252	1452
148	252	1444
149	253	1436
150	254	1429
151	254	1422
152	255	1414
153	256	1407
154	256	1400
155	257	1393
156	258	1386
157	258	1379
158	259	1372
159	260	1366
160	260	1359
161	261	1352
162	262	1346
163	262	1339
164	263	1333
165	264	1327
166	264	1320
167	265	1314
168	266	1308
169	266	1302
170	267	1296
171	268	1290
172	268	1284
173	269	1278
174	270	1273
175	270	1267
176	271	1261
177	271	1256
178	272	1250
179	273	1245
180	273	1238
181	274	1232
182	274	1227
183	275	1222
184	276	1217
185	276	1211
186	277	1206
187	278	1201
188	278	1196
189	279	1191
190	280	1186
191	280	1181
192	281	1176
193	282	1172
194	282	1167
195	283	1162
